"","date","text"
"1","November 05, 2020","President Trump makes remarks at the White House Press Briefing room about the 2020 election. When he gives his remarks, no winner of the presidential election has been declared because votes are still being counted in states such as Pennsylvania, North Carolina, Georgia, Nevada, and Arizona. Trump makes a number of false claims in his remarks such as claiming that there were illegal and legal votes or that mail-in ballots were fraudulent, although he cited no evidence. The major news networks—CBS, NBC, and ABC—all cut away from the president's remarks early because of his numerous false statements. "
"2","October 26, 2020","President Trump presides over the swearing-in ceremony for Justice Amy Coney Barrett as she becomes an associate justice of the US Supreme Court. She is only the fifth woman to become a Supreme Court justice. Barrett's nomination and confirmation was controversial as Republicans in 2016 refused to consider President Obama's nomination to the Supreme Court after Justice Antonin Scalia died in February, claiming it was too close the November presidential election. But when Justice Ruth Bader Ginsberg died in September, the Republicans pushed through her confirmation, and President Trump swore her in just a week before the 2020 presidential election. "
"3","September 26, 2020","President Donald Trump announces that he is nominating Judge Amy Coney Barrett to the US Supreme Court after Justice Ruth Bader Ginsberg died earlier in the month. After this ceremony, at least 12 people, including the President and the First Lady, tested positive for the coronavirus. "
"4","September 07, 2020","President Donald Trump holds a press conference on Labor Day. He discusses the 2020 presidential campaign and running against Joe Biden on the Democratic ticket. He differentiates himself from the Democratic ticket on issues such as taxes, trade, and climate change. The president also attacks Biden for politicizing the vaccine for the coronavirus. He then takes questions from the press. "
"5","August 08, 2020","President Donald Trump begins his press conference discussing two bills that he signed related to veterans. He then talks about the failed negotiations with the Democrats in Congress regarding legislation to help the American people in a variety of ways during the coronavirus pandemic. Trump details four executive orders to provide a payroll tax holiday, protect people from evictions, offer additional benefits to the unemployed, and relief for students with loans. He signs the executive orders before taking questions from the press. "
"6","July 04, 2020","President Donald Trump addresses an audience on the South Lawn of the White House on the Fourth of July. He details some of the people from American history who will be included in the new park he created--the National Garden of American Heroes. He also praises the men and women of the United States military. "
"7","June 20, 2020","President Donald J. Trump launches his reelection campaign with a rally in Tulsa, Oklahoma. While still in the midst of the COVID-19 pandemic, the Trump campaign holds an indoor rally with thousands of people but fewer people attend than expected. In a meandering speech, the president recaps some of his achievements during his first term, such as his tax cut and appointment of two US Supreme Court judges. He then attacks the Democratic nominee, Joe Biden, for working with the ""radical left."" "
"8","June 13, 2020","President Donald J. Trump addresses the graduating class of the US Military Academy at West Point. He praises the cadets for their hard work and success, and points to examples across US history of strong military personnel who helped the country. He also highlights some of the successes of his tenure in office, including the establishment of the Space Force and the assassination of Qasem Soleimani. "
"9","June 01, 2020","On May 25, 2020, Minneapolis police officers killed George Floyd, an African American man, by knelling on his neck. His murder was videotaped, and protests against the police brutality of African Americans and other communities of color took place across the country. President Donald Trump makes a statement after a weekend of protests, some of which involved violence, and he pledges to bring federal resources to stop the unrest. "
"10","April 23, 2020","President Donald Trump holds his daily Coronavirus Task Force Briefing. During this briefing, the President proposes using light and disinfectant to combat the virus. However, medical professionals quickly respond with warnings about the dangers of disinfectants such as bleach, which should never be ingested. "
"11","April 15, 2020","During this press briefing with the Coronavirus Task Force, President Trump announces that his administration is putting a hold on funding for the World Health Organization, one of the main organizations addressing the world-wide coronavirus pandemic. Trump asserts that the WHO mismanaged the outbreak and favored China over the United States. "
"12","April 13, 2020","During the coronavirus pandemic, President Donald Trump holds usually daily briefings with the task force in charge of coordinating the response to the coronavirus, including members such as Vice President Mike Pence, Dr. Anthony Fauci, and Dr. Deborah Birx. The president also takes questions from the press. In this briefing, President Trump made news when he asserted that, ""...when somebody is the President of the United States, the authority is total."" "
"13","September 19, 1796","In one of the most famous addresses in American history, Washington declines to seek a third term as President, and he thanks the American people for entrusting him with the position. He calls on American citizens to remain patriotic and unified despite their differences and to avoid ""permanent Alliances"" with other nations. Washington released this address to newspapers around the countries but he never presented it in person before any assembly."
"14","April 30, 1789","President George Washington calls on Congress to avoid local and party partisanship and encourages the adoption of a Bill of Rights, without specifically calling them by name. The first President demonstrates his reluctance to accept the post, rejects any salary for the execution of his duties, and devotes a considerable part of the speech to his religious beliefs."
"15","April 22, 1793"," Whereas it appears that a state of war exists between Austria,   Prussia, Sardinia, Great Britain, and the United Netherlands, on the one part,   and France on the other; and the duty and interest of the United States require,   that they should with sincerity and good faith adopt and pursue a conduct friendly   and impartial towards the belligerent powers: "
"16","August 29, 1796","There is no summary for this speech."
"17","December 19, 1799","There is no summary for this speech."
"18","March 04, 1797","Adams praises the patriotism of his predecessors and celebrates the virtues of the Constitution. The President cautions Americans not to lose sight of the danger their liberties face before offering up his qualifications and resources for the job."
"19","March 23, 1798","There is no summary for this speech."
"20","May 21, 1800","There is no summary for this speech."
"21","March 04, 1801","There is no summary for this speech."
"22","June 20, 1803","To Meriwether Lewis esq. Capt. of the 1st regimt. of infantry   of the U. S. of A.:"
"23","December 06, 1805","To the Senate and House of Representatives of the United States: "
"24","March 04, 1809","Madison begins his address by acknowledging the domestic political tensions caused by his fractured and Congress, and he expresses concern over the war between France and England, which could jeopardize U.S. trade and neutrality. The new President then lists principles he will use to guide him through the challenges of his new position, including maintaining neutrality, fostering a spirit of independence, and respecting the rights of states."
"25","June 01, 1812","Madison asks that Congress declare war against Britain, listing four major grievances to justify action: impressment, illegal blockades, the Orders in Council, and British responsibility for renewing Indian warfare in the northwest. The President insists that a state of war already existed and to ignore these grievances would undermine U.S. sovereignty through an implicit acceptance of British actions."
"26","January 30, 1815","Madison vetoes a proposed National Bank bill, objecting that the proposed bank could not revive public credit, provide a medium of circulation, or help the Treasury Department make short and long term loans. The President expresses regret about vetoing a deliberated bill but encourages Congress to find a better way to discharge national financial duties."
"27","March 04, 1817","There is no summary for this speech."
"28","March 05, 1821","There is no summary for this speech."
"29","December 02, 1823","In this important speech, Monroe establishes what becomes known as the Monroe Doctrine, warning the European powers that ""we should consider any attempt on their part to extend their system to any portion of this hemisphere as dangerous to our peace and safety."" The President goes on to discuss American neutrality and commerce during European wartime."
"30","March 04, 1825","President Adams gives an overview of the success of the United States in domestic and foreign relations. He then reviews the promises and the record of his predecessor and gives a general set of goals he wishes to achieve, specifically better roads."
"31","December 06, 1825","There is no summary for this speech."
"32","February 05, 1827","In John Quincy Adams’ “Message Regarding the Creek Indians” he makes the case for better protection of Indian Territories, in accordance with the 1826 treaty. He notes that violations of this treaty are in “direct violation of the supreme law of this land” and asks Congress to determine whether further legislation is needed to reinforce the existing policies."
"33","February 15, 1832","There is no summary for this speech."
"34","July 10, 1832","In this veto message, President Jackson passionately rejects a bill that rechartered the Bank of the United States. He argues that the Bank gives privilege and unfair advantage to a wealthy few at the expense of the public, and he opposes foreign ownership of Bank stock. The President claims the same right to interpret the Constitution as Congress and the Supreme Court when he questions the constitutionality of the Bank."
