"","Url"
"1","https://millercenter.org/the-presidency/presidential-speeches/"
"2","https://millercenter.org/the-presidency/presidential-speeches/november-5-2020-remarks-2020-election"
"3","https://millercenter.org/the-presidency/presidential-speeches/october-26-2020-swearing-ceremony-honorable-amy-coney-barrett"
"4","https://millercenter.org/the-presidency/presidential-speeches/september-26-2020-announcing-his-nominee-us-supreme-court"
"5","https://millercenter.org/the-presidency/presidential-speeches/september-7-2020-labor-day-press-conference"
"6","https://millercenter.org/the-presidency/presidential-speeches/august-8-2020-press-conference-executive-orders"
"7","https://millercenter.org/the-presidency/presidential-speeches/july-4-2020-remarks-salute-america"
"8","https://millercenter.org/the-presidency/presidential-speeches/june-20-2020-campaign-rally-tulsa-oklahoma"
"9","https://millercenter.org/the-presidency/presidential-speeches/june-13-2020-address-west-point-graduation"
"10","https://millercenter.org/the-presidency/presidential-speeches/june-1-2020-statement-protests-against-police-brutality"
"11","https://millercenter.org/the-presidency/presidential-speeches/april-23-2020-task-force-briefing-coronavirus-pandemic"
"12","https://millercenter.org/the-presidency/presidential-speeches/april-15-2020-press-briefing-coronavirus-task-force"
"13","https://millercenter.org/the-presidency/presidential-speeches/april-13-2020-coronavirus-task-force-briefing"
"14","https://millercenter.org/the-presidency/presidential-speeches/?field_speech_date_value%5Bmin%5D=&amp;field_speech_date_value%5Bmax%5D=&amp;field_full_node_value=&amp;page=1"
"15","https://millercenter.org/the-presidency/presidential-speeches/september-19-1796-farewell-address"
"16","https://millercenter.org/the-presidency/presidential-speeches/april-30-1789-first-inaugural-address"
"17","https://millercenter.org/the-presidency/presidential-speeches/april-22-1793-proclamation-neutrality"
"18","https://millercenter.org/the-presidency/presidential-speeches/august-29-1796-talk-cherokee-nation"
"19","https://millercenter.org/the-presidency/presidential-speeches/december-19-1799-death-george-washington"
"20","https://millercenter.org/the-presidency/presidential-speeches/march-4-1797-inaugural-address"
"21","https://millercenter.org/the-presidency/presidential-speeches/march-23-1798-proclamation-day-fasting-humiliation-and-prayer"
"22","https://millercenter.org/the-presidency/presidential-speeches/may-21-1800-proclamation-pardons-those-engaged-fries-rebellion"
"23","https://millercenter.org/the-presidency/presidential-speeches/march-4-1801-first-inaugural-address"
"24","https://millercenter.org/the-presidency/presidential-speeches/june-20-1803-instructions-captain-lewis"
"25","https://millercenter.org/the-presidency/presidential-speeches/december-6-1805-special-message-congress-foreign-policy"
"26","https://millercenter.org/the-presidency/presidential-speeches/march-4-1809-first-inaugural-address"
"27","https://millercenter.org/the-presidency/presidential-speeches/june-1-1812-special-message-congress-foreign-policy-crisis-war"
"28","https://millercenter.org/the-presidency/presidential-speeches/january-30-1815-veto-message-national-bank"
"29","https://millercenter.org/the-presidency/presidential-speeches/march-4-1817-first-inaugural-address"
"30","https://millercenter.org/the-presidency/presidential-speeches/march-5-1821-second-inaugural-address"
"31","https://millercenter.org/the-presidency/presidential-speeches/december-2-1823-seventh-annual-message-monroe-doctrine"
"32","https://millercenter.org/the-presidency/presidential-speeches/march-4-1825-inaugural-address"
"33","https://millercenter.org/the-presidency/presidential-speeches/december-6-1825-message-regarding-congress-american-nations"
"34","https://millercenter.org/the-presidency/presidential-speeches/february-5-1827-message-regarding-creek-indians"
